ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12782502,2021 Toyota RAV4 GXL (2WD) Hybrid Axah52R,54990,Toyota,RAV4,GXL (2WD) Hybrid,Axah52R,2021,15527,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Blue,5
12783098,2018 Toyota RAV4 GXL (2WD) ZSA42R MY18,34888,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2018,98757,Wagon,Automatic,Unleaded Petrol, Used,1987,Grey,5
12783632,2022 Toyota RAV4 GX (2WD) Mxaa52R,47888,Toyota,RAV4,GX (2WD),Mxaa52R,2022,20,Wagon,Automatic,Unleaded Petrol, Used,1987,Grey,5
12783648,2022 Toyota RAV4 GXL (awd) Hybrid Axah54R,62777,Toyota,RAV4,GXL (awd) Hybrid,Axah54R,2022,1730,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12783666,2021 Toyota RAV4 XSE (awd) Hybrid Axah54R,60990,Toyota,RAV4,XSE (awd) Hybrid,Axah54R,2021,9158,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12783670,2018 Toyota RAV4 GXL (2WD) ZSA42R MY18,34990,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2018,70869,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12783917,2022 Toyota RAV4 GXL (2WD) Mxaa52R,56990,Toyota,RAV4,GXL (2WD),Mxaa52R,2022,75,Wagon,Automatic,Unleaded Petrol, Used,1987,Black,5
12783918,2022 Toyota RAV4 GXL (2WD) Mxaa52R,56990,Toyota,RAV4,GXL (2WD),Mxaa52R,2022,66,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
12784071,2005 Toyota RAV4 Cruiser (4X4) ACA22R,5990,Toyota,RAV4,Cruiser (4X4),ACA22R,2005,189586,Wagon,Manual,Unleaded Petrol, Used,2362,BLACK,5
12784338,2020 Toyota RAV4 GX 2WD Hybrid Axah52R,47990,Toyota,RAV4,GX 2WD Hybrid,Axah52R,2020,54368,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Grey,5
12784648,2015 Toyota RAV4 GX (4X4) ASA44R MY14 Upgrade,19800,Toyota,RAV4,GX (4X4),ASA44R MY14 Upgrade,2015,187654,Wagon,Automatic,Unleaded Petrol, Used,2494,Black,5
12784685,2021 Toyota RAV4 GXL (2WD) Mxaa52R,51990,Toyota,RAV4,GXL (2WD),Mxaa52R,2021,10797,Wagon,Automatic,Unleaded Petrol, Used,1987,Grey,5
12784691,2021 Toyota RAV4 Edge (awd) Axaa54R,56990,Toyota,RAV4,Edge (awd),Axaa54R,2021,42648,Wagon,Automatic,Unleaded Petrol, Used,2487,Green,5
12784783,2020 Toyota RAV4 GXL 2WD Hybrid Axah52R,54990,Toyota,RAV4,GXL 2WD Hybrid,Axah52R,2020,19698,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,White,5
12785077,2013 Toyota RAV4 GXL (4X4) ALA49R,19380,Toyota,RAV4,GXL (4X4),ALA49R,2013,241046,Wagon,Automatic,Diesel, Used,2231,Blue,5
12785847,2017 Toyota RAV4 GXL (2WD) ZSA42R MY18,37980,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2017,29000,Wagon,Automatic,Unleaded Petrol, Used,1987,Grey,5
12786004,2007 Toyota RAV4 Cruiser (4X4) ACA33R,15490,Toyota,RAV4,Cruiser (4X4),ACA33R,2007,164934,Wagon,Automatic,Unleaded Petrol, Used,2362,Silver,5
12786006,2002 Toyota RAV4 Cruiser (4X4) ACA20R,13990,Toyota,RAV4,Cruiser (4X4),ACA20R,2002,193466,Wagon,Automatic,Unleaded Petrol, Used,1998,Blue,4
12786471,2019 Toyota RAV4 GX (2WD) Mxaa52R,37992,Toyota,RAV4,GX (2WD),Mxaa52R,2019,85824,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12786869,2021 Toyota RAV4 Cruiser (2WD) Mxaa52R,52990,Toyota,RAV4,Cruiser (2WD),Mxaa52R,2021,12098,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
12787517,2013 Toyota RAV4 GXL (2WD) ZSA42R,19999,Toyota,RAV4,GXL (2WD),ZSA42R,2013,149827,Wagon,Automatic,Unleaded Petrol, Used,1987,Silver,5
12787785,2012 Toyota RAV4 CV (2WD) ACA38R,15300,Toyota,RAV4,CV (2WD),ACA38R,2012,160000,Wagon,Automatic,Unleaded Petrol, Used,2362,Black,5
12788397,2019 Toyota RAV4 GXL (2WD) Mxaa52R,36990,Toyota,RAV4,GXL (2WD),Mxaa52R,2019,101152,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
12788935,2018 Toyota RAV4 GXL (2WD) ZSA42R MY18,34500,Toyota,RAV4,GXL (2WD),ZSA42R MY18,2018,67500,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
12789125,2018 Toyota RAV4 GX (2WD) ZSA42R MY18,30999,Toyota,RAV4,GX (2WD),ZSA42R MY18,2018,83968,Wagon,Automatic,Unleaded Petrol, Used,1987,WHITE,5
12789375,2020 Toyota RAV4 Edge AWD Axaa54R,55990,Toyota,RAV4,Edge AWD,Axaa54R,2020,22580,Wagon,Automatic,Unleaded Petrol, Used,2487,Grey,5
12792145,2016 Toyota RAV4 GX (2WD) ZSA42R MY16,29995,Toyota,RAV4,GX (2WD),ZSA42R MY16,2016,54459,Wagon,Automatic,Unleaded Petrol, Used,1987,White,5
12792221,2022 Toyota RAV4 GX (2WD) Hybrid Axah52R,54888,Toyota,RAV4,GX (2WD) Hybrid,Axah52R,2022,43,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Grey,5
12792632,2019 Toyota RAV4 GX 2WD Hybrid Axah52R,46888,Toyota,RAV4,GX 2WD Hybrid,Axah52R,2019,59511,Wagon,Automatic,Unleaded Petrol/Electric, Used,2487,Silver,5
12792890,2021 Toyota RAV4 GX (2WD) Mxaa52R,42990,Toyota,RAV4,GX (2WD),Mxaa52R,2021,55680,Wagon,Automatic,Unleaded Petrol, Used,1987,Blue,5
